"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","공연장","03_06_01_P","3000000","CDFE1230002017000005","2017-11-13","","02","휴업","02","휴업","","2023-06-13","2023-12-31","","","","","서울특별시 종로구 동숭동 1-58","서울특별시 종로구 대학로8가길 30, 2층 (동숭동)","03086","룸어씨어터","2023-06-13 14:22:49","U","2023-06-15 02:40:00","","200153.322797562","453332.518876344","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"2","공연장","03_06_01_P","4490000","CDFE1230002016000001","2016-09-06","","02","휴업","02","휴업","","2025-05-10","2025-06-10","","5781090","","","충청남도 천안시 동남구 신방동 784-9 홈플러스천안신방점 4층","충청남도 천안시 동남구 신촌1길 23 (신방동, 홈플러스천안신방점 4층)","31177","홈플러스소극장 천안신방점","2026-01-09 13:07:31","U","2026-01-11 02:40:00","","210681.520347633","365092.813367026","공연장","공연장","","7","","","","","6","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"3","공연장","03_06_01_P","5050000","CDFE1230002007000001","2007-04-23","","02","휴업","02","휴업","","2023-12-22","2025-12-22","","","","780-290","경상북도 경주시 신평동 719-70","경상북도 경주시 엑스포로 55-12 (신평동)","","신라밀레니엄파크 메인공연장","2023-12-22 15:51:34","U","2023-12-24 02:40:00","","407429.947428169","261792.468889804","공연장","공연장","자연녹지지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"4","공연장","03_06_01_P","5050000","CDFE1230002007000004","2007-04-23","","02","휴업","02","휴업","","2023-12-22","2025-12-22","","","","780-290","경상북도 경주시 신평동 719-70","경상북도 경주시 엑스포로 55-12 (신평동)","","신라밀레니엄파크 화랑공연장","2023-12-22 15:52:50","U","2023-12-24 02:40:00","","407429.947428169","261792.468889804","공연장","공연장","자연녹지지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","공연장","03_06_01_P","4721000","CDFE1230002001000001","2001-05-21","","02","휴업","02","휴업","","2002-04-03","2004-04-03","","","","565-821","전북특별자치도 완주군 구이면 백여리 342","전북특별자치도 완주군 구이면 덕골길 27","565-820","버팔로소극장","2011-10-30 13:43:10","I","2024-01-19 01:16:45","","209847.557583561","239472.476412419","공연장","공연장","","0","","","","","1","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","공연장","03_06_01_P","4231000","CDFE1230001999000001","1999-09-11","","02","휴업","02","휴업","","2002-01-01","2016-12-31","","","","217-813","강원특별자치도 속초시 조양동 1545-1","강원특별자치도 속초시 엑스포로 75 (조양동)","217-813","주제관","2016-05-09 11:34:12","I","2023-06-13 00:00:00","","338575.492427571","522063.941893254","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"7","공연장","03_06_01_P","4231000","CDFE1230002015000001","2015-07-17","","02","휴업","02","휴업","","2015-08-31","2017-08-31","","033-633-0001","","217-807","강원특별자치도 속초시 금호동 600-7","강원특별자치도 속초시 영랑호반길 140 (금호동)","217-807","신세계 영랑호리조트 특설공연장","2016-05-09 11:48:43","I","2023-06-13 00:00:00","","338374.412974913","524654.315852627","공연장","공연장","","1","","","","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"8","공연장","03_06_01_P","4140000","CDFE1230002002000001","2002-12-30","","02","휴업","02","휴업","","2013-12-10","2017-12-31","","839-2901","","486-802","경기도 연천군 연천읍 옥산리 449-1번지","경기도 연천군 연천읍 차옥로 38-5","486-802","연천군민회관","2013-12-30 17:41:26","I","2018-08-31 23:59:59","","206894.404569859","510599.356554742","공연장","공연장","","2","주택가주변","","","문화시설","2","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"9","공연장","03_06_01_P","4701000","CDFE1230002002000003","2002-12-27","","02","휴업","02","휴업","","2024-09-02","2034-08-31","","063)632-6071","","590-100","전북특별자치도 남원시 어현동 37-140","전북특별자치도 남원시 양림길 58-13 (어현동)","55795","남원랜드","2024-09-30 09:07:00","U","2024-10-02 02:40:00","","235576.052370162","211603.276472952","공연장","공연장","자연녹지지역","1","","","","문화시설","1","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"10","공연장","03_06_01_P","3000000","CDFE1230002019000008","2019-10-07","","02","휴업","02","휴업","","2022-11-01","2023-12-31","","02-3143-5959","","","서울특별시 종로구 혜화동 90-18 석정홀딩스 빌딩","서울특별시 종로구 대학로 146, 석정홀딩스 빌딩 4층 (혜화동)","03084","판타스틱 전용관","2023-01-03 17:45:08","U","2023-01-05 02:40:00","","200113.874740135","453549.526436303","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"11","공연장","03_06_01_P","5050000","CDFE1230002023000001","2023-04-06","","02","휴업","02","휴업","","2025-06-25","2026-12-31","","","","","경상북도 경주시 손곡동 74 MCY PARK(햇살가득한 캠핑)","경상북도 경주시 천북남로 196, MCY PARK(햇살가득한 캠핑) (손곡동)","38116","MCY PARK 공연장","2025-09-08 09:55:39","U","2025-09-10 02:40:00","","407363.832296463","264204.117452423","공연장","공연장","","0","","","","","1","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
